##  Shared Name File  Ver. 1.1
##  File created by:  GE FANUC -- CIMPLICITY  Ver. 6.10 Build 5590
##  File created at:  09:42:16  on  05/27/2026.
## 
PT_ID,ACCESS,ACCESS_FILTER,ACK_TIMEOUT,ADDR,ADDR_OFFSET,ADDR_TYPE,ALM_CLASS,ALM_CRITERIA,ALM_DEADBAND,ALM_DELAY,ALM_ENABLE,ALM_HIGH_1,ALM_HIGH_2,ALM_HLP_FILE,ALM_LOW_1,ALM_LOW_2,ALM_MSG,ALM_ROUTE_OPER,ALM_ROUTE_SYSMGR,ALM_ROUTE_USER,ALM_SEVERITY,ALM_STR,ALM_TYPE,ALM_UPDATE_VALUE,ANALOG_DEADBAND,BFR_COUNT,BFR_DUR,BFR_EVENT_PERIOD,BFR_EVENT_PT_ID,BFR_EVENT_TYPE,BFR_EVENT_UNITS,BFR_GATE_COND,BFR_SYNC_TIME,CALC_TYPE,CONV_LIM_HIGH,CONV_LIM_LOW,CONV_TYPE,DELAY_LOAD,DELETE_REQ,DESC,DEVIATION_PT,DEVICE_ID,DISP_LIM_HIGH,DISP_LIM_LOW,DISP_TYPE,DISP_WIDTH,ELEMENTS,ENG_UNITS,ENUM_ID,EQUATION,EXTRA,FW_CONV_EQ,GR_SCREEN,INIT_VAL,JUSTIFICATION,LEVEL,LOCAL,LOG_ACK,LOG_DATA,LOG_DEL,LOG_GEN,LOG_RESET,MAX_STACKED,MEASUREMENT_UNIT_ID,MISC_FLAGS,POLL_AFTER_SET,PRECISION,PROC_ID,PTMGMT_PROC_ID,PT_ENABLED,PT_ORIGIN,PT_SET_INTERVAL,PT_SET_TIME,PT_TYPE,RANGE_HIGH,RANGE_LOW,RAW_LIM_HIGH,RAW_LIM_LOW,REP_TIMEOUT,RESET_ALLOWED,RESET_COND,RESET_PT,RESET_TIMEOUT,RESOURCE_ID,REV_CONV_EQ,ROLLOVER_VAL,SAFETY_PT,SAMPLE_INTV,SAMPLE_INTV_UNIT,SCAN_RATE,SETPOINT_HIGH,SETPOINT_LOW,TIME_OF_DAY,TRIG_CK_PT,TRIG_PT,TRIG_REL,TRIG_VAL,UAFSET,UPDATE_CRITERIA,VARIANCE_VAL,VARS
ALARM_HORN_PH,W,,,%g0270,0,FQ,,,,0,,,,,,,,,,,0,1,,0,0,0,0,0,,1,0,0,0,,,,NO,0,,Acknowledge Flag for Pilothouse Horns,,ALARMPLC,,,d,,1,,,,0,,,,LEFT,0,,,0,,,,,,00,1,,,,1,D,,,BOOL,1,0,,,,,,,,$MAC_FR,,,,0,,5,,,,,,NO,,,OC,,1
ALARM_NET_DIAG,W,,,$data_source,0,FQ,,,,0,,,,,,,,,,,0,1,,0,0,0,0,0,,1,0,0,0,,,,NO,0,,Network Diagnostic,,ALARMPLC,,,d,,1,,,,0,,,,LEFT,0,,,0,,,,,,00,1,,,,1,I,,,INT,,,,,,,,,,$SYSTEM,,,,0,,2,,,,,,NO,,,OC,,1
ALARM_NET_MODE_P1,W,,,$mode_p1,0,FQ,,,,0,,,,,,,,,,,0,1,,0,0,0,0,0,,1,0,0,0,,,,NO,0,,network mode data on PC1,,ALARMPLC,,,d,,1,,,,0,,,,LEFT,0,,,0,,,,,,00,1,,,,1,I,,,INT,,,,,,,,,,$SYSTEM,,,,0,,3,,,,,,NO,,,OC,,1
ALARM_NET_MODE_P2,W,,,$mode_p2,0,FQ,,,,0,,,,,,,,,,,0,1,,0,0,0,0,0,,1,0,0,0,,,,NO,0,,network mode data on PC2,,ALARMPLC,,,d,,1,,,,0,,,,LEFT,0,,,0,,,,,,00,1,,,,1,I,,,INT,,,,,,,,,,$SYSTEM,,,,0,,4,,,,,,NO,,,OC,,1
ALARM_NET_P1C1,W,,,$conn_status_p1c1,0,FQ,,,,0,,,,,,,,,,,0,1,,0,0,0,0,0,,1,0,0,0,,,,NO,0,,Ethernet Bus PC1 Cable 1 Comm Failure,,ALARMPLC,,,d,,1,,,,0,,,,LEFT,0,,,0,,,,,,00,1,,,,1,I,,,INT,,,,,,,,,,$SYSTEM,,,,0,,5,,,,,,NO,,,OC,,1
ALARM_NET_P1C2,W,,,$conn_status_p1c2,0,FQ,,,,0,,,,,,,,,,,0,1,,0,0,0,0,0,,1,0,0,0,,,,NO,0,,Ethernet Bus PC1 Cable 2 Comm Failure,,ALARMPLC,,,d,,1,,,,0,,,,LEFT,0,,,0,,,,,,00,1,,,,1,I,,,INT,,,,,,,,,,$SYSTEM,,,,0,,2,,,,,,NO,,,OC,,1
ALARM_NET_P2C1,W,,,$conn_status_p2c1,0,FQ,,,,0,,,,,,,,,,,0,1,,0,0,0,0,0,,1,0,0,0,,,,NO,0,,Ethernet Bus PC2 Cable 1 Comm Failure,,ALARMPLC,,,d,,1,,,,0,,,,LEFT,0,,,0,,,,,,00,1,,,,1,I,,,INT,,,,,,,,,,$SYSTEM,,,,0,,4,,,,,,NO,,,OC,,1
ALARM_NET_P2C2,W,,,$conn_status_p2c2,0,FQ,,,,0,,,,,,,,,,,0,1,,0,0,0,0,0,,1,0,0,0,,,,NO,0,,Ethernet Bus PC2 Cable 2 Comm Failure,,ALARMPLC,,,d,,1,,,,0,,,,LEFT,0,,,0,,,,,,00,1,,,,1,I,,,INT,,,,,,,,,,$SYSTEM,,,,0,,5,,,,,,NO,,,OC,,1
ALARM_NET_PC1_BUS_A,W,,,%g1000,0,FQ,,,,0,,,,,,,,,,,0,1,,0,0,0,0,0,,1,0,0,0,,,,NO,0,,PC1 Bus A Cimplicity Alarm Setpoint,,ALARMPLC,,,d,,1,,,,0,,,,LEFT,0,,,0,,,,,,00,1,,,,1,D,,,BOOL,1,0,,,,,,,,$MAC_FR,,,,0,,1,,,,,,NO,,,OC,,1
ALARM_NET_PC1_BUS_B,W,,,%g1001,0,FQ,,,,0,,,,,,,,,,,0,1,,0,0,0,0,0,,1,0,0,0,,,,NO,0,,PC1 Bus B Cimplicity Alarm Setpoint,,ALARMPLC,,,d,,1,,,,0,,,,LEFT,0,,,0,,,,,,00,1,,,,1,D,,,BOOL,1,0,,,,,,,,$MAC_FR,,,,0,,2,,,,,,NO,,,OC,,1
